to,avg_node_iou,avg_edge_iou,paths
100,0.881974,0.851479,2350
84,0.826127,0.792258,3758
85,0.879274,0.848782,1626
35,0.8106,0.774031,4276
116,0.803669,0.765752,4256
68,0.883209,0.854856,4618
101,0.926193,0.908051,3084
86,0.861013,0.827483,2436
102,0.879372,0.842662,1066
103,0.939113,0.924281,3402
117,0.803801,0.765918,4224
69,0.949772,0.937305,6718
36,0.798865,0.761601,7012
18,0.884426,0.863682,7994
180,0.852956,0.821611,8436
87,0.856208,0.831915,7504
70,0.856087,0.824233,4936
37,0.806804,0.769827,6156
19,0.878585,0.856405,7452
104,0.891205,0.872299,9852
164,0.912723,0.898407,11988
71,0.804006,0.770189,8156
165,0.807046,0.772949,5192
118,0.857691,0.828102,11468
166,0.820184,0.785774,2600
181,0.880577,0.855865,10032
132,0.87803,0.857936,13748
52,0.82882,0.799793,13442
167,0.807046,0.772949,5192
72,0.820531,0.787569,7520
53,0.803266,0.764605,6260
73,0.773805,0.733496,5688
133,0.830428,0.804844,8674
119,0.865133,0.837381,10056
88,0.886474,0.865363,13696
54,0.8187,0.782857,7248
38,0.8832,0.8625,13476
182,0.8789,0.853901,10358
55,0.882925,0.854488,4630
39,0.891373,0.866632,5150
89,0.869429,0.846534,6128
134,0.838991,0.814972,7210
40,0.852754,0.827946,3968
56,0.952913,0.942221,5218
41,0.857954,0.834109,4406
168,0.853945,0.823143,12558
57,0.887727,0.86212,4422
183,0.844707,0.813124,8568
120,0.882884,0.85548,9640
42,0.855068,0.830703,4442
20,0.966381,0.960273,15420
58,0.782667,0.74418,5244
21,0.895681,0.877398,4398
169,0.841335,0.808059,6868
170,0.929569,0.912085,5020
22,0.807859,0.779059,5580
171,0.839046,0.806159,5608
74,0.849768,0.820891,14252
184,0.850486,0.823917,10222
121,0.865133,0.837381,10056
90,0.885123,0.8644,13414
148,0.810726,0.781824,22232
122,0.939084,0.924498,6076
23,0.8882,0.868604,9014
75,0.882535,0.860966,8050
123,0.939084,0.924498,6076
124,0.949461,0.936969,8370
125,0.894317,0.867755,4082
126,0.926193,0.908051,3084
149,0.913993,0.899894,11952
150,0.810347,0.772361,5428
76,0.831308,0.806741,12978
127,0.913459,0.892254,8932
59,0.76036,0.725533,18454
135,0.801289,0.770847,21444
128,0.848175,0.816903,12642
151,0.812981,0.777335,14620
152,0.861334,0.831481,8742
77,0.840973,0.815356,17348
153,0.838833,0.80732,7634
91,0.857471,0.835205,23186
136,0.885927,0.866696,17196
43,0.807402,0.783367,27120
185,0.884457,0.864438,25480
105,0.853965,0.831557,32502
154,0.853945,0.823143,12558
60,0.785336,0.755156,21198
44,0.765869,0.732807,10794
155,0.930754,0.913548,4978
186,0.848179,0.821054,10614
92,0.85202,0.828494,14528
156,0.899487,0.874618,6914
129,0.842058,0.815655,19874
24,0.829916,0.809509,27818
157,0.839046,0.806159,5608
137,0.774645,0.74245,15282
106,0.83103,0.804182,13810
158,0.844326,0.81225,8824
61,0.785118,0.751985,12900
62,0.771833,0.727506,3000
159,0.85677,0.826824,6072
63,0.838055,0.805535,5014
107,0.828142,0.800548,13460
64,0.785737,0.752928,11376
138,0.885952,0.866731,17060
65,0.82436,0.794487,6162
93,0.835327,0.808594,17978
160,0.844406,0.818192,13672
45,0.82694,0.8039,19970
139,0.81566,0.779095,5344
140,0.915439,0.894291,4540
141,0.925307,0.906673,4292
66,0.833983,0.805692,8090
142,0.919187,0.899536,6638
143,0.912524,0.891194,6908
108,0.87803,0.857936,13748
144,0.849954,0.817805,5124
187,0.845776,0.819334,22988
67,0.828785,0.799723,13930
78,0.868232,0.84646,29092
94,0.835327,0.808594,17978
79,0.771619,0.73432,6996
95,0.826786,0.803109,6998
80,0.83343,0.801241,5224
81,0.825404,0.79226,3484
25,0.836067,0.816498,26928
82,0.865794,0.840201,4888
83,0.865427,0.832595,2960
96,0.895251,0.877916,11430
26,0.736014,0.698718,10210
46,0.780362,0.750325,22988
145,0.840627,0.813669,19736
172,0.860079,0.836314,43624
188,0.811048,0.782167,26952
47,0.82694,0.8039,19970
48,0.816054,0.785161,4312
27,0.863967,0.846287,22886
173,0.841025,0.814192,18508
49,0.785535,0.752684,11380
174,0.912723,0.898407,11988
146,0.819809,0.792976,30022
28,0.805689,0.779448,21784
29,0.796741,0.765826,10874
147,0.852838,0.833209,16356
175,0.811383,0.782605,25752
161,0.837041,0.812911,43506
162,0.80532,0.775983,9860
109,0.851381,0.831212,43596
30,0.815307,0.788055,21752
163,0.913584,0.899412,11956
31,0.785554,0.748628,6904
32,0.895326,0.878249,4480
97,0.933909,0.923231,46508
98,0.881943,0.858081,7724
50,0.829191,0.804164,40544
99,0.828572,0.794255,4242
33,0.897212,0.880561,24786
51,0.810473,0.77712,8518
34,0.814046,0.777673,4580
1,0.883525,0.860966,66658
130,0.946916,0.93806,57878
2,0.853199,0.829321,21574
3,0.814106,0.77991,3486
4,0.917224,0.903477,6604
189,0.887586,0.870519,51624
131,0.865173,0.845515,28542
110,0.851381,0.831212,43596
5,0.840229,0.812828,25260
190,0.893745,0.876031,27372
191,0.86274,0.837179,12200
111,0.851654,0.83148,24920
192,0.850486,0.823917,10222
112,0.826602,0.797877,9528
193,0.848179,0.821054,10614
113,0.770436,0.736507,19604
6,0.744877,0.712417,31780
176,0.917436,0.90421,60218
177,0.807046,0.772949,5192
178,0.79387,0.757163,6110
114,0.769741,0.736244,25746
115,0.914486,0.90058,13642
7,0.744877,0.712417,31780
194,0.852204,0.830025,40880
8,0.848589,0.823595,18832
195,0.845776,0.819334,22988
9,0.862077,0.839805,30020
10,0.903218,0.886064,5422
11,0.922495,0.90918,5294
179,0.88803,0.871005,44634
12,0.890493,0.872017,20116
13,0.885656,0.866427,25316
14,0.895326,0.878249,4480
15,0.793768,0.7593,17816
16,0.793768,0.7593,17816
17,0.85508,0.825508,12844
